Date,Team 1,Team 2,Score 1,Score 2
1/8/2026,Austin Peay,Florida Gulf Coast,82,71
1/8/2026,Appalachian St.,Georgia St.,52,50
1/8/2026,Santa Clara,Gonzaga,77,89
1/8/2026,Montana,Idaho,79,73
1/8/2026,Rutgers,Illinois,55,81
1/8/2026,Queens,Jacksonville,77,51
1/8/2026,North Dakota St.,Kansas City,97,73
1/8/2026,New Haven,Le Moyne,47,73
1/8/2026,Mercyhurst,LIU,58,60
1/8/2026,Louisiana Monroe,Louisiana,79,85
1/8/2026,Liberty,Louisiana Tech,72,56
1/8/2026,San Francisco,Loyola Marymount,82,84
1/8/2026,Northwestern,Michigan St.,66,76
1/8/2026,William & Mary,Monmouth,70,81
1/8/2026,Tennessee Martin,Morehead St.,76,68
1/8/2026,North Dakota,Nebraska Omaha,79,90
1/8/2026,Western Kentucky,New Mexico St.,64,80
1/8/2026,New Hampshire,NJIT,76,80
1/8/2026,Elon,North Carolina A&T,69,64
1/8/2026,West Georgia,North Florida,85,73
1/8/2026,UNC Wilmington,Northeastern,87,78
1/8/2026,Weber St.,Northern Arizona,78,65
1/8/2026,Idaho St.,Northern Colorado,72,85
1/8/2026,Ohio St.,Oregon,72,62
1/8/2026,Seattle,Oregon St.,55,68
1/8/2026,Pacific,Portland,89,90
1/8/2026,Delaware,Sam Houston St.,60,72
1/8/2026,Pepperdine,San Diego,63,83
1/8/2026,Little Rock,SIUE,73,70
1/8/2026,Denver,South Dakota St.,79,87
1/8/2026,Southeast Missouri,Southern Indiana,84,76
1/8/2026,Texas St.,Southern Miss,70,80
1/8/2026,Lipscomb,Stetson,83,91
1/8/2026,Abilene Christian,Tarleton St.,84,80
1/8/2026,Hofstra,Towson,78,67
1/8/2026,Long Beach St.,UC Irvine,64,74
1/8/2026,Cal St. Fullerton,UC San Diego,88,71
1/8/2026,UC Davis,UC Santa Barbara,93,86
1/8/2026,Maine,UMBC,62,69
1/8/2026,Southern Utah,Utah Valley,72,89
1/8/2026,Middle Tennessee,UTEP,80,83
1/8/2026,Binghamton,Vermont,59,60
1/8/2026,Saint Francis,Wagner,71,69
1/8/2026,Tennessee St.,Western Illinois,90,68
1/9/2026,Akron,Bowling Green,77,67
1/9/2026,UNLV,Colorado St.,62,70
1/9/2026,Wright St.,Detroit Mercy,84,82
1/9/2026,Rider,Fairfield,62,68
1/9/2026,IU Indy,Green Bay,59,75
1/9/2026,Niagara,Iona,53,71
1/9/2026,Canisius,Manhattan,70,64
1/9/2026,Northern Kentucky,Milwaukee,85,67
1/9/2026,USC,Minnesota,70,69
1/9/2026,Saint Peter's,Mount St. Mary's,65,70
1/9/2026,Cleveland St.,Oakland,74,97
1/9/2026,Marist,Sacred Heart,76,72
1/9/2026,Merrimack,Siena,63,59
1/9/2026,Miami OH,Toledo,87,73
1/9/2026,Bryant & Stratton,Youngstown St.,61,99
1/10/2026,New Mexico,Air Force,91,49
1/10/2026,Texas,Alabama,92,88
1/10/2026,Alcorn St.,Alabama A&M,64,62
1/10/2026,Jackson St.,Alabama St.,75,64
1/10/2026,Bryant,Albany,46,71
1/10/2026,Holy Cross,American,84,73
1/10/2026,Kansas St.,Arizona St.,84,87
1/10/2026,Texas St.,Arkansas St.,82,83
1/10/2026,Arkansas,Auburn,73,95
1/10/2026,Houston,Baylor,77,55
1/10/2026,North Alabama,Bellarmine,82,73
1/10/2026,Grambling St.,Bethune Cookman,65,74
1/10/2026,UMass Lowell,Binghamton,73,68
1/10/2026,Utah St.,Boise St.,93,68
1/10/2026,Army,Boston University,91,100
1/10/2026,Northern Iowa,Bradley,69,75
1/10/2026,Loyola MD,Bucknell,67,70
1/10/2026,Southern Utah,Cal Baptist,55,58
1/10/2026,UC Davis,Cal Poly,78,84
1/10/2026,CSUN,Cal St. Fullerton,79,86
1/10/2026,Kent St.,Central Michigan,85,87
1/10/2026,Hampton,Charleston,70,74
1/10/2026,High Point,Charleston Southern,84,82
1/10/2026,Samford,Chattanooga,79,88
1/10/2026,Appalachian St.,Coastal Carolina,62,67
1/10/2026,Lehigh,Colgate,78,77
1/10/2026,Texas Tech,Colorado,73,71
1/10/2026,Harvard,Columbia,79,54
1/10/2026,DePaul,Connecticut,60,72
